Mon, 02 Nov 2020 22:02:34 GMT | PUT | {"id":"1781f291-7c12-4193-97a7-25b9e9aee663","title":"Autotest updated board","columns":[{"title":"Backlog","order":1,"_id":"2dc47748-6a07-46df-acb3-5efa462b7b9a"},{"title":"Sprint","order":2,"_id":"30cea924-c22d-4bb3-8a12-cda4e78beeee"}]} | /boards/1781f291-7c12-4193-97a7-25b9e9aee663 | {"id":"1781f291-7c12-4193-97a7-25b9e9aee663"} | 200 | 143.840 ms
Mon, 02 Nov 2020 22:02:34 GMT | GET | {} | /boards/1781f291-7c12-4193-97a7-25b9e9aee663 | {"id":"1781f291-7c12-4193-97a7-25b9e9aee663"} | 200 | 83.019 ms
Mon, 02 Nov 2020 22:02:34 GMT | DELETE | {} | /users/2a84be07-ca89-4de7-952c-1c67377bd6a1 | {"id":"2a84be07-ca89-4de7-952c-1c67377bd6a1"} | 204 | 179.056 ms
Mon, 02 Nov 2020 22:02:34 GMT | DELETE | {} | /boards/1781f291-7c12-4193-97a7-25b9e9aee663 | {"id":"1781f291-7c12-4193-97a7-25b9e9aee663"} | 204 | 135.838 ms
Mon, 02 Nov 2020 22:02:34 GMT | POST | {"name":"TEST_USER","login":"test_user","password":"*******"} | /users | {} | 200 | 256.975 ms
Mon, 02 Nov 2020 22:02:34 GMT | POST | {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]} | /boards | {} | 200 | 121.790 ms
Mon, 02 Nov 2020 22:02:35 GMT | DELETE | {} | /boards/81a78fa5-36d8-451b-a00e-1dbbf305dc8b | {"id":"81a78fa5-36d8-451b-a00e-1dbbf305dc8b"} | 204 | 140.985 ms
Mon, 02 Nov 2020 22:02:35 GMT | PUT | {"name":"Autotest updated TEST_USER","login":"test_user","password":"*******","id":"5947b6a5-c0d3-481d-9208-066b03c7ec22"} | /users/5947b6a5-c0d3-481d-9208-066b03c7ec22 | {"id":"5947b6a5-c0d3-481d-9208-066b03c7ec22"} | 200 | 335.788 ms
Mon, 02 Nov 2020 22:02:35 GMT | GET | {} | /boards/81a78fa5-36d8-451b-a00e-1dbbf305dc8b | {} | 404 | 169.673 ms
Mon, 02 Nov 2020 22:02:35 GMT | GET | {} | /users/5947b6a5-c0d3-481d-9208-066b03c7ec22 | {"id":"5947b6a5-c0d3-481d-9208-066b03c7ec22"} | 200 | 75.030 ms
Mon, 02 Nov 2020 22:02:35 GMT | POST | {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]} | /boards | {} | 200 | 99.198 ms
Mon, 02 Nov 2020 22:02:35 GMT | POST | {"title":"Task #1","order":1,"description":"Lorem ipsum","boardId":"da9c146d-85bd-45c0-9cb3-784e05bd90ac","userId":null,"columnId":null} | /boards/da9c146d-85bd-45c0-9cb3-784e05bd90ac/tasks | {"boardId":"da9c146d-85bd-45c0-9cb3-784e05bd90ac"} | 200 | 139.885 ms
Mon, 02 Nov 2020 22:02:35 GMT | POST | {"title":"Task #2","order":2,"description":"Lorem ipsum","boardId":"da9c146d-85bd-45c0-9cb3-784e05bd90ac","userId":null,"columnId":null} | /boards/da9c146d-85bd-45c0-9cb3-784e05bd90ac/tasks | {"boardId":"da9c146d-85bd-45c0-9cb3-784e05bd90ac"} | 200 | 208.430 ms
Mon, 02 Nov 2020 22:02:35 GMT | POST | {"login":"admin","password":"*******"} | /login | {} | 200 | 430.479 ms
Mon, 02 Nov 2020 22:02:36 GMT | POST | {"title":"Task #3","order":3,"description":"Lorem ipsum","boardId":"da9c146d-85bd-45c0-9cb3-784e05bd90ac","userId":null,"columnId":null} | /boards/da9c146d-85bd-45c0-9cb3-784e05bd90ac/tasks | {"boardId":"da9c146d-85bd-45c0-9cb3-784e05bd90ac"} | 200 | 235.439 ms
Mon, 02 Nov 2020 22:02:36 GMT | POST | {"title":"Task #4","order":4,"description":"Lorem ipsum","boardId":"da9c146d-85bd-45c0-9cb3-784e05bd90ac","userId":null,"columnId":null} | /boards/da9c146d-85bd-45c0-9cb3-784e05bd90ac/tasks | {"boardId":"da9c146d-85bd-45c0-9cb3-784e05bd90ac"} | 200 | 291.336 ms
Mon, 02 Nov 2020 22:02:36 GMT | POST | {"title":"Task #5","order":5,"description":"Lorem ipsum","boardId":"da9c146d-85bd-45c0-9cb3-784e05bd90ac","userId":null,"columnId":null} | /boards/da9c146d-85bd-45c0-9cb3-784e05bd90ac/tasks | {"boardId":"da9c146d-85bd-45c0-9cb3-784e05bd90ac"} | 200 | 349.705 ms
Mon, 02 Nov 2020 22:02:36 GMT | DELETE | {} | /users/5947b6a5-c0d3-481d-9208-066b03c7ec22 | {"id":"5947b6a5-c0d3-481d-9208-066b03c7ec22"} | 204 | 435.161 ms
